City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Bharatpur,IN,76.6,clear sky,27.2167,77.4833,OYO 22446 Sonar Haveli
11,Hambantota,LK,79.2,scattered clouds,6.1241,81.1185,Bungalow 63
12,Saint George,US,79.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
15,Saint-Philippe,RE,77.0,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
16,Paita,PE,84.2,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
25,Sao Francisco,BR,84.49,overcast clouds,-15.9486,-44.8644,Hotel Supremo
29,Santo Domingo,DO,89.6,few clouds,18.5001,-69.9886,Cabañas City Heart
30,Santa Cruz,BO,84.2,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
31,Caravelas,BR,77.49,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
32,Laguna,US,75.99,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
35,Alenquer,BR,84.2,few clouds,-1.9417,-54.7383,Josilene Castro
39,Taki,IN,78.8,moderate rain,22.5861,88.9214,Taki Bishram Baganbari
40,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
42,Trinidad,BO,82.4,scattered clouds,-14.8333,-64.9,Hotel Piesta
46,Kelo,TD,87.55,broken clouds,9.3086,15.8066,Plantation de Kelo
51,Namibe,AO,80.1,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
52,Sinnamary,GF,78.57,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
56,Touros,BR,84.2,few clouds,-5.1989,-35.4608,INN NEW HORIZON
59,Maragogi,BR,79.57,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
60,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
66,Darab,IR,76.51,broken clouds,28.7519,54.5444,Naghshe shapoor Hotel
70,Bondoukou,CI,80.29,scattered clouds,8.0333,-2.8,Prestige Hotel
71,Agnibilekrou,CI,77.05,moderate rain,7.1344,-3.2047,"J'AIME ATTOBRO, (Mon Village)"
73,Bambous Virieux,MU,78.01,light rain,-20.3428,57.7575,Casa Tia Villa
76,Toamasina,MG,77.0,light rain,-18.1667,49.3833,Hotel H1
78,Luanda,AO,80.22,light rain,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
81,Salalah,OM,82.4,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
82,Georgetown,MY,80.6,scattered clouds,5.4112,100.3354,Cititel Penang
83,Sambava,MG,75.29,light rain,-14.2667,50.1667,Melrose
84,Road Town,VG,78.8,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
87,Iranshahr,IR,86.0,clear sky,27.2025,60.6848,پلکه بزرگ
88,Meulaboh,ID,77.18,overcast clouds,4.1363,96.1285,Kost Pria
92,Acara,BR,77.86,overcast clouds,-1.9608,-48.1967,Hotel Vale do Acará
96,Correntina,BR,77.16,overcast clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
100,Mitu,CO,82.67,moderate rain,1.1983,-70.1733,
101,Adrar,MR,86.31,scattered clouds,20.5022,-10.0711,
102,Bouna,CI,82.92,broken clouds,9.2667,-3.0,Hotel Reserve
108,Saint-Pierre,RE,77.0,broken clouds,-21.3393,55.4781,Lindsey Hôtel
111,Mitsamiouli,KM,81.1,overcast clouds,-11.3847,43.2844,Foyer ADM
113,Deogarh,IN,79.97,broken clouds,21.5333,84.7333,RM Hostel
122,Santa Isabel Do Rio Negro,BR,82.18,broken clouds,-0.4139,-65.0192,Hotel GSA
123,Kalmunai,LK,79.83,overcast clouds,7.4167,81.8167,VS Villa
124,Sao Joao Da Barra,BR,78.8,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
126,Kyabe,TD,86.45,broken clouds,9.4515,18.9449,
127,Paracatu,BR,79.23,clear sky,-17.2222,-46.8747,Hotel Paracatu Plaza
130,Kibala,TD,83.53,broken clouds,9.1104,18.3463,hotel safari
133,Ugoofaaru,MV,83.03,clear sky,5.6667,73.0,Ungoofaaru Inn
135,Guhagar,IN,77.81,scattered clouds,17.4842,73.1929,Hotel Seawinds
136,Umm Lajj,SA,82.72,broken clouds,25.0213,37.2685,Moon light Furnished Units
139,Salinopolis,BR,79.16,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
145,Le Port,RE,78.8,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
152,Hithadhoo,MV,82.54,clear sky,-0.6,73.0833,Scoop Guest House
153,Kingston,JM,87.01,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
154,Boca Do Acre,BR,81.46,moderate rain,-8.7522,-67.3978,Hotel Sao Pedro
158,Alta Floresta,BR,87.8,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
166,Gaoua,BF,86.94,overcast clouds,10.2992,-3.2508,
