City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,East London,ZA,-33.0153,27.9116,67.93,81,93,2.51,overcast clouds
1,Busselton,AU,-33.65,115.3333,53.01,96,100,9.35,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,50.0,53,0,0.51,clear sky
3,Punta Arenas,CL,-53.15,-70.9167,46.4,66,0,9.22,clear sky
4,Sergeyevka,KZ,53.88,67.4158,40.17,71,49,5.3,scattered clouds
5,Clyde River,CA,70.4692,-68.5914,12.2,92,75,26.46,snow
6,Ilulissat,GL,69.2167,-51.1,26.6,54,6,8.05,clear sky
7,Bharatpur,IN,27.2167,77.4833,76.6,35,3,5.93,clear sky
8,Hermanus,ZA,-34.4187,19.2345,64.0,84,19,4.0,few clouds
9,Bredasdorp,ZA,-34.5322,20.0403,60.8,94,97,9.22,overcast clouds
10,Inhambane,MZ,-23.865,35.3833,69.8,94,20,6.15,few clouds
11,Hambantota,LK,6.1241,81.1185,79.2,83,28,10.36,scattered clouds
12,Saint George,US,37.1041,-113.5841,79.0,6,1,26.46,clear sky
13,Aasiaat,GL,68.7098,-52.8699,23.25,78,22,14.65,few clouds
14,Jaslo,PL,49.7451,21.4725,50.0,84,18,1.99,few clouds
15,Saint-Philippe,RE,-21.3585,55.7679,77.0,83,75,16.11,broken clouds
16,Paita,PE,-5.0892,-81.1144,84.2,54,0,16.11,clear sky
17,Margate,GB,51.3813,1.3862,46.99,74,13,5.01,few clouds
18,Vuktyl,RU,63.8567,57.3094,37.69,83,100,8.19,overcast clouds
19,Arraial Do Cabo,BR,-22.9661,-42.0278,73.4,83,40,9.22,scattered clouds
20,Dikson,RU,73.5069,80.5464,28.76,95,100,14.41,overcast clouds
21,Port Alfred,ZA,-33.5906,26.891,70.47,81,55,9.89,light rain
22,Sistranda,NO,63.7256,8.834,37.4,75,75,12.66,light rain
23,Cape Town,ZA,-33.9258,18.4232,66.2,77,0,9.22,clear sky
24,Dakar,SN,14.6937,-17.4441,69.8,83,0,13.8,clear sky
25,Sao Francisco,BR,-15.9486,-44.8644,84.49,41,88,1.74,overcast clouds
26,Skibotn,NO,69.3913,20.2679,33.8,64,75,5.75,light snow
27,Horodyshche,UA,49.2849,31.4451,45.01,76,24,8.55,few clouds
28,Jamestown,US,42.097,-79.2353,34.0,64,90,11.5,light snow
29,Santo Domingo,DO,18.5001,-69.9886,89.6,55,20,13.8,few clouds
30,Santa Cruz,BO,-17.8,-63.1667,84.2,78,75,11.5,broken clouds
31,Caravelas,BR,-17.7125,-39.2481,77.49,80,100,4.81,overcast clouds
32,Laguna,US,38.421,-121.4238,75.99,30,1,3.44,clear sky
33,Saint Anthony,US,45.0205,-93.218,42.01,41,90,8.05,overcast clouds
34,Lagoa,PT,39.05,-27.9833,63.34,91,100,25.23,overcast clouds
35,Alenquer,BR,-1.9417,-54.7383,84.2,70,20,5.75,few clouds
36,Zaysan,KZ,47.4667,84.8667,23.83,67,2,9.8,clear sky
37,Ostrovnoy,RU,68.0531,39.5131,36.7,71,100,6.91,overcast clouds
38,Maniitsoq,GL,65.4167,-52.9,34.84,78,6,9.1,clear sky
39,Taki,IN,22.5861,88.9214,78.8,78,75,5.75,moderate rain
40,Souillac,MU,-20.5167,57.5167,77.0,94,75,9.22,light rain
41,Mhlambanyatsi,SZ,-26.45,31.0167,100.4,67,6,9.22,clear sky
42,Trinidad,BO,-14.8333,-64.9,82.4,83,40,6.91,scattered clouds
43,Longyearbyen,SJ,78.2186,15.6401,23.0,68,75,16.11,broken clouds
44,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,30.99,40,100,7.72,overcast clouds
45,Ravar,IR,31.2656,56.8055,75.0,18,2,4.68,clear sky
46,Kelo,TD,9.3086,15.8066,87.55,38,55,12.08,broken clouds
47,Moose Factory,CA,51.2585,-80.6094,26.6,54,90,11.5,overcast clouds
48,Pangnirtung,CA,66.1451,-65.7125,28.4,69,90,18.41,snow
49,Victoria,HK,22.2855,114.1577,73.0,82,0,6.33,clear sky
