City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pozo Colorado,PY,2021-04-21 17:46:52,-23.4923,-58.7972,96.3,22,21,8.21
1,Clyde River,CA,2021-04-21 17:46:53,70.4692,-68.5914,10.4,92,75,11.5
2,Bilma,NE,2021-04-21 17:46:53,18.6853,12.9164,94.32,7,0,9.08
3,Sao Filipe,CV,2021-04-21 17:46:53,14.8961,-24.4956,73.22,71,100,10.65
4,Victoria,HK,2021-04-21 17:43:57,22.2855,114.1577,73.99,81,0,1.01
5,Hermanus,ZA,2021-04-21 17:44:29,-34.4187,19.2345,66.0,81,68,5.01
6,Cape Town,ZA,2021-04-21 17:44:33,-33.9258,18.4232,64.99,88,0,11.5
7,Jamestown,US,2021-04-21 17:43:31,42.097,-79.2353,32.0,80,90,6.91
8,Salalah,OM,2021-04-21 17:46:54,17.0151,54.0924,81.12,74,98,5.46
9,Port Elizabeth,ZA,2021-04-21 17:46:54,-33.918,25.5701,68.0,88,40,10.36
10,Mar Del Plata,AR,2021-04-21 17:44:50,-38.0023,-57.5575,69.8,94,40,16.11
11,Ponta Delgada,PT,2021-04-21 17:46:55,37.7333,-25.6667,62.6,94,75,12.66
12,Puerto Ayacucho,VE,2021-04-21 17:46:55,5.6639,-67.6236,94.44,37,71,1.77
13,Port Alfred,ZA,2021-04-21 17:46:55,-33.5906,26.891,70.09,84,90,6.13
14,Grootfontein,NA,2021-04-21 17:46:22,-19.5667,18.1167,66.2,48,0,3.44
15,Hurghada,EG,2021-04-21 17:46:56,27.2574,33.8129,78.8,36,0,18.41
16,Hithadhoo,MV,2021-04-21 17:46:56,-0.6,73.0833,82.99,66,63,4.76
17,Visby,SE,2021-04-21 17:46:57,57.6409,18.296,48.99,57,90,12.66
18,Ouro Fino,BR,2021-04-21 17:46:57,-22.2831,-46.3692,71.6,40,40,3.8
19,Port-Gentil,GA,2021-04-21 17:46:57,-0.7193,8.7815,84.2,84,40,4.61
20,Luderitz,NA,2021-04-21 17:44:55,-26.6481,15.1594,67.33,71,100,9.06
21,Busselton,AU,2021-04-21 17:46:58,-33.65,115.3333,54.0,93,72,1.01
22,Berlevag,NO,2021-04-21 17:46:58,70.8578,29.0864,41.0,70,75,5.75
23,Lithakia,GR,2021-04-21 17:46:58,37.7167,20.8333,59.0,67,20,3.44
24,El Alto,PE,2021-04-21 17:46:59,-4.2714,-81.2147,84.2,54,0,16.11
25,Upernavik,GL,2021-04-21 17:46:59,72.7868,-56.1549,18.41,69,71,6.58
26,Taoudenni,ML,2021-04-21 17:47:00,22.6783,-3.9836,97.97,6,1,11.1
27,Narsaq,GL,2021-04-21 17:44:34,60.9167,-46.05,50.0,25,75,24.16
28,Marsh Harbour,BS,2021-04-21 17:47:00,26.5412,-77.0636,80.53,74,100,12.5
29,Road Town,VG,2021-04-21 17:47:01,18.4167,-64.6167,81.0,77,3,7.0
30,Arraial Do Cabo,BR,2021-04-21 17:47:01,-22.9661,-42.0278,78.8,78,0,18.41
31,Rio Grande,BR,2021-04-21 17:47:01,-32.035,-52.0986,73.4,68,40,13.8
32,Mossendjo,CG,2021-04-21 17:47:02,-2.9506,12.7261,72.18,96,90,0.76
33,Qasigiannguit,GL,2021-04-21 17:47:02,68.8193,-51.1922,24.8,50,1,5.75
34,Ushuaia,AR,2021-04-21 17:47:03,-54.8,-68.3,51.8,43,0,1.39
35,George Town,MY,2021-04-21 17:45:11,5.4112,100.3354,82.4,89,40,2.3
36,East London,ZA,2021-04-21 17:47:03,-33.0153,27.9116,68.0,88,40,4.61
37,Amboasary,MG,2021-04-21 17:47:03,-25.0333,46.3833,73.4,83,75,16.11
38,Dikson,RU,2021-04-21 17:47:04,73.5069,80.5464,29.84,93,100,16.22
39,Qaanaaq,GL,2021-04-21 17:47:04,77.484,-69.3632,13.35,70,100,8.84
40,Ribeira Grande,PT,2021-04-21 17:47:04,38.5167,-28.7,64.4,94,75,26.46
41,Iqaluit,CA,2021-04-21 17:44:35,63.7506,-68.5145,30.2,93,90,34.52
42,Praia,CV,2021-04-21 17:47:05,14.9215,-23.5087,77.0,57,75,16.11
43,Adrar,MR,2021-04-21 17:47:05,20.5022,-10.0711,95.72,5,59,10.63
44,Octeville,FR,2021-04-21 17:47:06,49.6261,-1.6435,50.0,87,90,17.27
45,Aksarka,RU,2021-04-21 17:47:06,66.5606,67.7975,32.47,93,100,10.83
46,Saint-Philippe,RE,2021-04-21 17:47:06,-21.3585,55.7679,77.0,83,75,13.8
47,Katima Mulilo,NA,2021-04-21 17:47:07,-17.5,24.2667,67.26,49,1,5.32
48,Cidreira,BR,2021-04-21 17:44:19,-30.1811,-50.2056,71.56,67,82,18.07
49,Punta Arenas,CL,2021-04-21 17:44:28,-53.15,-70.9167,48.2,49,0,10.36
50,Yura,PE,2021-04-21 17:47:07,-16.2522,-71.6797,68.0,24,0,10.36
51,Vestmannaeyjar,IS,2021-04-21 17:47:07,63.4427,-20.2734,44.6,76,40,11.5
52,Tasiilaq,GL,2021-04-21 17:47:08,65.6145,-37.6368,31.75,72,100,7.99
